Area Code,Area,Item Code,Item,Months Code,Months,Unit,Y2000,Y2000F,Y2000N,Y2001,Y2001F,Y2001N,Y2002,Y2002F,Y2002N,Y2003,Y2003F,Y2003N,Y2004,Y2004F,Y2004N,Y2005,Y2005F,Y2005N,Y2006,Y2006F,Y2006N,Y2007,Y2007F,Y2007N,Y2008,Y2008F,Y2008N,Y2009,Y2009F,Y2009N,Y2010,Y2010F,Y2010N,Y2011,Y2011F,Y2011N,Y2012,Y2012F,Y2012N,Y2013,Y2013F,Y2013N,Y2014,Y2014F,Y2014N,Y2015,Y2015F,Y2015N,Y2016,Y2016F,Y2016N,Y2017,Y2017F,Y2017N,Y2018,Y2018F,Y2018N,Y2019,Y2019F,Y2019N,Y2020,Y2020F,Y2020N,Y2021,Y2021F,Y2021N
"144","Mozambique","23014","Food price inflation","7007","July","%",,,,"9.372954","Fc",,"16.061735","Fc",,"15.129769","Fc",,"11.484616","Fc",,"7.558680","Fc",,"12.356863","Fc",,"8.042283","Fc",,"20.473469","Fc",,"5.488549","Fc",,"18.884892","Fc",,"11.270802","Fc",,"2.573565","Fc",,"5.339898","Fc",,"5.275930","Fc",,"0.640314","Fc",,"29.787663","Fc",,"16.157787","Fc",,"0.952633","Fc",,"3.241590","Fc",,"7.396750","Fc",,"10.449550","Fc",
"144","Mozambique","23014","Food price inflation","7008","August","%",,,,"9.634302","Fc",,"16.783660","Fc",,"14.570434","Fc",,"11.352609","Fc",,"7.120337","Fc",,"13.310625","Fc",,"7.918171","Fc",,"20.300145","Fc",,"3.836351","Fc",,"18.808939","Fc",,"12.536697","Fc",,"1.980676","Fc",,"4.841307","Fc",,"4.509308","Fc",,"2.222222","Fc",,"31.880694","Fc",,"13.221396","Fc",,"1.562916","Fc",,"3.226371","Fc",,"7.521599","Fc",,"10.737327","Fc",
"144","Mozambique","23014","Food price inflation","7009","September","%",,,,"9.892575","Fc",,"17.493719","Fc",,"14.026998","Fc",,"11.223114","Fc",,"6.689324","Fc",,"14.256081","Fc",,"6.868640","Fc",,"21.432019","Fc",,"2.981317","Fc",,"18.695317","Fc",,"11.739837","Fc",,"2.532014","Fc",,"5.033589","Fc",,"3.720386","Fc",,"3.083203","Fc",,"35.439474","Fc",,"9.917114","Fc",,"1.499290","Fc",,"3.303907","Fc",,"7.947774","Fc",,"10.312385","Fc",
"144","Mozambique","23014","Food price inflation","7010","October","%",,,,"10.147828","Fc",,"18.192202","Fc",,"13.498792","Fc",,"11.096060","Fc",,"6.265459","Fc",,"15.193338","Fc",,"7.458450","Fc",,"20.717446","Fc",,"2.382511","Fc",,"18.514256","Fc",,"11.284928","Fc",,"3.092584","Fc",,"4.805341","Fc",,"3.580081","Fc",,"7.085932","Fc",,"34.121218","Fc",,"6.863950","Fc",,"1.442095","Fc",,"3.811268","Fc",,"8.070598","Fc",,,,
"144","Mozambique","23014","Food price inflation","7011","November","%",,,,"10.400114","Fc",,"18.879390","Fc",,"12.985185","Fc",,"10.971378","Fc",,"5.848564","Fc",,"16.122504","Fc",,"8.721456","Fc",,"19.916692","Fc",,"2.380033","Fc",,"18.874089","Fc",,"9.947146","Fc",,"3.913085","Fc",,"4.274611","Fc",,"3.167702","Fc",,"9.529543","Fc",,"33.885610","Fc",,"5.102510","Fc",,"0.900980","Fc",,"5.218899","Fc",,"8.155911","Fc",,,,
"144","Mozambique","23014","Food price inflation","7012","December","%",,,,"10.649483","Fc",,"19.555556","Fc",,"12.485579","Fc",,"10.849003","Fc",,"5.438470","Fc",,"17.043682","Fc",,"12.903142","Fc",,"16.510126","Fc",,"3.539489","Fc",,"21.654501","Fc",,"7.060000","Fc",,"2.531291","Fc",,"3.844402","Fc",,"3.237126","Fc",,"17.513596","Fc",,"29.857175","Fc",,"1.798184","Fc",,"0.171497","Fc",,"7.986646","Fc",,"8.045685","Fc",,,,
"147","Namibia","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","30.948220","F","base year is 2015","33.213602","F","base year is 2015","37.264609","","base year is 2015","43.859783","","base year is 2015","44.186110","","base year is 2015","44.646137","","base year is 2015","46.777050","","base year is 2015","50.851016","","base year is 2015","58.497851","","base year is 2015","67.434001","","base year is 2015","71.179445","","base year is 2015","72.028680","","base year is 2015","79.360459","","base year is 2015","85.318406","","base year is 2015","91.289999","","base year is 2015","97.221561","","base year is 2015","103.171547","","base year is 2015","116.835519","","base year is 2015","119.151934","","base year is 2015","125.999054","","base year is 2015","128.752067","","base year is 2015","135.478273","","base year is 2015"
"147","Namibia","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","31.125619","F","base year is 2015","33.527597","F","base year is 2015","38.036057","","base year is 2015","43.781672","","base year is 2015","44.163381","","base year is 2015","44.649210","","base year is 2015","46.633282","","base year is 2015","51.056573","","base year is 2015","58.798270","","base year is 2015","67.937915","","base year is 2015","71.743349","","base year is 2015","72.027435","","base year is 2015","80.206456","","base year is 2015","85.812810","","base year is 2015","91.999659","","base year is 2015","98.062113","","base year is 2015","105.152988","","base year is 2015","117.081753","","base year is 2015","119.457584","","base year is 2015","126.487766","","base year is 2015","129.986447","","base year is 2015","137.104316","","base year is 2015"
"147","Namibia","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","31.303018","F","base year is 2015","33.841591","F","base year is 2015","38.645378","","base year is 2015","43.921840","","base year is 2015","44.459246","","base year is 2015","44.665506","","base year is 2015","47.162753","","base year is 2015","51.658042","","base year is 2015","59.561777","","base year is 2015","68.654689","","base year is 2015","71.760932","","base year is 2015","72.973303","","base year is 2015","80.651032","","base year is 2015","86.219972","","base year is 2015","93.628138","","base year is 2015","98.773853","","base year is 2015","108.377110","","base year is 2015","116.330686","","base year is 2015","119.520224","","base year is 2015","126.484702","","base year is 2015","130.157698","","base year is 2015","138.776001","","base year is 2015"
"147","Namibia","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","31.480417","F","base year is 2015","34.155586","F","base year is 2015","39.338864","","base year is 2015","44.083407","","base year is 2015","44.647960","","base year is 2015","45.019555","","base year is 2015","47.229061","","base year is 2015","52.617532","","base year is 2015","61.211054","","base year is 2015","68.808856","","base year is 2015","71.449067","","base year is 2015","74.262141","","base year is 2015","81.062332","","base year is 2015","86.565339","","base year is 2015","94.279545","","base year is 2015","99.167177","","base year is 2015","110.119857","","base year is 2015","116.492871","","base year is 2015","119.828864","","base year is 2015","126.190736","","base year is 2015","131.543254","","base year is 2015","139.313029","","base year is 2015"
"147","Namibia","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","31.657816","F","base year is 2015","34.469580","F","base year is 2015","39.701621","","base year is 2015","44.169560","","base year is 2015","45.012220","","base year is 2015","44.178016","","base year is 2015","47.537772","","base year is 2015","53.238059","","base year is 2015","61.733528","","base year is 2015","69.255927","","base year is 2015","71.032879","","base year is 2015","74.932962","","base year is 2015","81.092013","","base year is 2015","86.766942","","base year is 2015","95.350604","","base year is 2015","99.617657","","base year is 2015","111.727421","","base year is 2015","115.902200","","base year is 2015","120.424798","","base year is 2015","125.782452","","base year is 2015","131.691249","","base year is 2015","140.323243","","base year is 2015"
"147","Namibia","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","31.835215","F","base year is 2015","34.783575","F","base year is 2015","40.333847","","base year is 2015","44.597110","","base year is 2015","44.883795","","base year is 2015","44.496186","","base year is 2015","47.780755","","base year is 2015","53.474105","","base year is 2015","62.456171","","base year is 2015","69.624730","","base year is 2015","71.056468","","base year is 2015","75.264091","","base year is 2015","80.433170","","base year is 2015","87.036006","","base year is 2015","95.808764","","base year is 2015","99.753260","","base year is 2015","111.031949","","base year is 2015","116.139596","","base year is 2015","120.579651","","base year is 2015","125.296090","","base year is 2015","131.239690","","base year is 2015","140.770973","","base year is 2015"
"147","Namibia","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","32.012613","F","base year is 2015","35.097569","F","base year is 2015","40.569098","","base year is 2015","44.459804","","base year is 2015","44.757999","","base year is 2015","44.968973","","base year is 2015","47.752043","","base year is 2015","54.040664","","base year is 2015","63.929352","","base year is 2015","69.432000","","base year is 2015","72.127704","","base year is 2015","75.727825","","base year is 2015","81.891274","","base year is 2015","87.100830","","base year is 2015","94.910209","","base year is 2015","99.934346","","base year is 2015","112.159530","","base year is 2015","116.952617","","base year is 2015","120.399937","","base year is 2015","124.535190","","base year is 2015","132.104373","","base year is 2015","140.153126","X","base year is 2015"
"147","Namibia","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","32.190012","F","base year is 2015","35.411564","F","base year is 2015","40.742326","","base year is 2015","44.471182","","base year is 2015","44.678209","","base year is 2015","45.197958","","base year is 2015","48.180427","","base year is 2015","54.703767","","base year is 2015","64.609777","","base year is 2015","70.979290","","base year is 2015","71.952233","","base year is 2015","76.251121","","base year is 2015","81.763252","","base year is 2015","87.681569","","base year is 2015","95.197141","","base year is 2015","100.445123","","base year is 2015","111.970381","","base year is 2015","117.108431","","base year is 2015","120.219862","","base year is 2015","125.156087","","base year is 2015","133.703027","","base year is 2015","140.709290","X","base year is 2015"
"147","Namibia","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","32.367411","F","base year is 2015","35.725558","F","base year is 2015","41.683473","","base year is 2015","44.668847","","base year is 2015","44.561501","","base year is 2015","45.710652","","base year is 2015","48.724248","","base year is 2015","55.187707","","base year is 2015","65.450194","","base year is 2015","70.552637","","base year is 2015","72.398108","","base year is 2015","76.207126","","base year is 2015","83.106834","","base year is 2015","88.064823","","base year is 2015","95.426990","","base year is 2015","100.880078","","base year is 2015","112.935518","","base year is 2015","117.684754","","base year is 2015","120.640458","","base year is 2015","125.903930","","base year is 2015","134.239016","","base year is 2015","140.904982","","base year is 2015"
