ID,sec14,sec15,sec16,sec17
384,NA,NA,NA,NA
385,NA,NA,NA,NA
386,NA,NA,NA,NA
387,NA,NA,NA,NA
388,NA,NA,NA,NA
389,NA,NA,NA,NA
390,NA,NA,NA,NA
391,NA,NA,NA,NA
392,NA,NA,NA,NA
393,NA,NA,NA,NA
394,NA,NA,NA,NA
395,NA,NA,NA,NA
396,1.5,1.5,1,1
397,1.5,1.5,1,1
398,1.5,1.5,1,1
399,NA,NA,NA,NA
400,NA,NA,NA,NA
401,NA,NA,NA,NA
402,NA,NA,NA,NA
403,2.25,2.25,2.66666666666667,2.66666666666667
404,1,1,1,1.66666666666667
405,1,1,1,1.66666666666667
406,1,1,1,1
407,1,1,1.33333333333333,1.66666666666667
408,1,1,1.66666666666667,1.66666666666667
409,1,1,1.66666666666667,1.66666666666667
410,1,1,1.66666666666667,1.66666666666667
411,NA,NA,NA,NA
412,NA,NA,NA,NA
413,NA,NA,NA,NA
414,NA,NA,NA,NA
415,1,1,1,1
416,1,1,1,1
417,1,1,1,1
418,1,1,1,1
419,1,1,1,1
420,NA,NA,NA,NA
421,NA,NA,NA,NA
422,NA,NA,NA,NA
423,NA,NA,NA,NA
424,1,1,1,1
425,1,1,1,1
426,1,1,1,1
427,1,1,1,1
428,1,1,1,1
429,1.25,1.75,1.33333333333333,1.33333333333333
430,1.25,1.75,1.66666666666667,1.33333333333333
431,1.25,2.25,1.66666666666667,1.33333333333333
432,1.25,1,1.66666666666667,1.33333333333333
433,1,1,1.66666666666667,1.33333333333333
434,1.25,2.5,2,2
435,1.25,2.5,2,1.66666666666667
436,1.25,1,1.33333333333333,1.33333333333333
437,1.25,1.25,2,1.33333333333333
438,1.25,1,1.33333333333333,1.33333333333333
439,1.25,1.5,1.66666666666667,1.33333333333333
440,1,1,1,1
441,2,2.5,1.33333333333333,1.33333333333333
442,2,2.25,2,1.33333333333333
443,1.25,1.5,2,1.33333333333333
444,2.25,2.25,2.66666666666667,2.66666666666667
445,1,1,1,1
446,1,1,1,1
447,1,1,1,1.33333333333333
448,2.25,2,2,2
449,1,1,1,1.33333333333333
450,1,1,1,1
451,1,1,1,1
452,1,1,1,1
453,1,1,1,1
454,1,1,1,1.66666666666667
455,1,1,1,1
456,1,1,1,1
457,1,1,1,1
458,1,1,1,1
459,1,1,1,1
460,1,1,1,1
461,1,1,1,1
462,NA,NA,NA,NA
463,1,1,1,1
464,1,1,1,1
465,1,1,1,1
466,2.75,2.25,2.33333333333333,2
467,1.5,2,2.33333333333333,2.66666666666667
468,1.5,1.75,2.33333333333333,2.66666666666667
469,1,1,1.66666666666667,1
470,1.5,1.25,1.66666666666667,1
471,2.25,2.25,2.33333333333333,2
472,1,1,1,1
473,1,1,1.33333333333333,1
474,NA,3.25,2,3
475,NA,2,2.66666666666667,3.33333333333333
476,1,1,1.33333333333333,1.33333333333333
477,NA,NA,NA,NA
478,NA,NA,NA,NA
479,NA,NA,1,1
480,NA,NA,1,1
481,NA,NA,1,1
482,NA,NA,1,1
483,NA,NA,1,1
484,NA,NA,1,1
485,NA,NA,1,1.66666666666667
486,NA,NA,1,1
487,NA,NA,2.33333333333333,1.33333333333333
488,NA,NA,3.33333333333333,2
489,NA,NA,1.33333333333333,1
490,NA,NA,1,1
491,NA,NA,1,1
492,NA,NA,NA,NA
493,NA,NA,NA,NA
494,NA,NA,NA,NA
495,NA,NA,NA,NA
496,1,1,1,1
497,1,1.75,3,1.66666666666667
498,1,1,2.33333333333333,1.66666666666667
499,1,1,1,1
500,NA,NA,NA,NA
501,NA,NA,NA,NA
502,NA,NA,NA,NA
503,1,1,1,1
504,1,1,1,1
505,1,1,1,1
506,1,1,1,1
507,1,1,1,1
508,NA,NA,NA,NA
509,NA,NA,NA,NA
510,NA,NA,NA,NA
511,NA,NA,NA,NA
512,NA,NA,NA,NA
513,NA,NA,NA,NA
514,NA,NA,NA,NA
515,NA,NA,NA,NA
516,NA,NA,NA,NA
517,NA,NA,NA,NA
518,NA,NA,NA,NA
519,NA,NA,NA,NA
520,NA,NA,NA,NA
521,NA,NA,NA,NA
522,NA,NA,NA,NA
523,NA,NA,NA,NA
524,NA,NA,NA,NA
525,NA,NA,NA,NA
526,NA,NA,NA,NA
