"","V1"
"126",421.956204891205
"127",553.401407241821
"128",342.336547470093
"129",491.139695608794
"130",577.676531982422
"131",253.362253461565
"132",159.165815353394
"133",552.070576887864
"134",376.329583304269
"135",386.538984086778
"136",85.265430178886
"137",20.8929294072665
"138",17.3234206647514
"139",47.3133356787942
"140",92.5355665307296
"141",29.2829769521312
"142",26.9970136710576
"143",24.1341960149653
"144",104.896654569186
"145",100.785457179231
"146",58.5073128564017
"147",41.8272433585309
"148",34.6845521424946
"149",36.0791565972325
"150",10.1445991139663
"151",27.2473210052545
"152",45.5463263663379
"153",7.1771638320629
"154",0.383636816545517
"155",26.0961957573036
"156",106.323060270004
"157",28.0433183481367
"158",40.3936701582734
"159",19.3288007612924
"160",7.72461758323551
"161",6.02399135392485
"162",15.7369687962778
"163",2.87160520610558
"164",14.06869403392
"165",4215.74853515625
"166",14.0802209516903
"167",105.971694744835
"168",143.792190710704
"169",206.37158878033
"170",223.019108666314
"171",215.518874535194
"172",387.834608811599
"173",483.703378677368
"174",2060.4624671936
"175",267.6897548369
"176",89.3738677415044
"177",138.522395357691
"178",20.2340921958288
"179",95.8041774693657
"180",17.2834023704911
"181",21.492452322891
"182",52.332624184342
"183",11.6680549884075
"184",16.8702943440703
"185",93.0375791058185
"186",14.4489958889038
"187",9.7050377178405
"188",4.90028130678207
"189",0.788668530099634
"190",15.6292017136163
"191",7.51025496723157
"192",39.2699222564697
"193",39.3262681543392
"194",14.3494064402073
"195",13.8102209016207
"196",3.69597193625121
"197",1.37225026012897
"198",1.29072169562982
"199",2.27087812942524
"200",6.40463225162482
"201",1.92200955468888
"202",2.19360538823828
"203",4.06357130674812
"204",1.76219830813604
"205",19.5829114009139
"206",95.4290754396026
"207",21.9539493124776
"208",4447.28735351562
"209",46.4476032477838
"210",46.4882915952267
"211",23.382088362791
"212",90.7722896547174
"213",14.8139498997196
"214",42.4202013263194
"215",133.093681585671
"216",62.8892358853011
"217",148.158145300804
"218",149.280817512543
"219",125.000594818498
"220",26.7078742763849
"221",69.8393118375242
"222",3.05690765000117
"223",84.8560293045684
"224",101.232031921258
"225",55.186844320961
"226",21.0195733380903
"227",269.639764738253
"228",198.585887668007
"229",29.6958563854132
"230",24.5543080221775
"231",35.3439602063397
"232",13.6146251711735
"233",95.026459980011
"234",114.583732637167
"235",34.5878452949607
"236",66.5836153030396
"237",46.5250093706193
"238",81.6980126094818
"239",110.126884023687
"240",411.061691714005
"241",23.3512387785455
"242",54.6180511649371
"243",76.1663344546062
"244",85.7766654152576
"245",91.5417430102825
"246",42.4058509728847
"247",32.9449990754326
"248",29.4668384724921
"249",35.9519926943678
"250",23.4043564960874
"251",21.0014014845135
"252",2.82378204893263
